company_name,url,year_founded,description,full_time_employees,zip_code,latitude,longitude
Pave,http://www.pave.com,2012.0,"Pave is a community where individual investors unlock the potential of people early in their careers through an innovative social-financial agreement. On Pave, prospects are young, driven individuals seeking to raise funding to further their education, pay off student debt, or pursue a career opportunity, all with the goal of taking their careers to the next level. This funding comes from backers, who are accomplished individuals looking to put their success and experience to good use. Under the terms of the Pave participation agreement, prospects accept a one-time payment from backers in exchange for committing to share a small, affordable percentage of their income over a period of time (e.g., 5 to 10 years). Since backer and prospect interests are aligned, some backers may also provide career guidance, mentorship, and networking connections to promote the success of their prospects.",1-10,10013.0,25.0331438,121.517527
Personal Democracy Media,http://personaldemocracy.com,2004.0,"Personal Democracy Media (PDM) is an independent media company focused on the intersection of politics and technology.

<p>Personal Democracy Media produces the annual Personal Democracy Forum (PDF) conference, now in its 11th year. It also publishes the award-winning news site, techPresident.com.</p>

<p>www.personaldemocracy.com serves as a hub for the conversation already underway between political practitioners and technologists, as well as anyone invigorated by the potential of all this to open up the process and engage more people in all the things that we can and must do together as citizens.</p>",1-10,10012.0,40.7255276078,-73.9978582518
Plus-U,https://www.unigo.com/from-plusu.aspx,2008.0,"Plus-U matches students to colleges based on education, career and financial goals.",11-50,10016.0,40.747273,-73.9778119
Poncho App,http://poncho.is/,2013.0,"Poncho is an app that delivers personalized weather reports every morning, tailored to your routine, delivered by email or text.",,10014.0,45.3033356,7.8899401
PricewaterhouseCoopers (PWC),http://www.pwc.com/us/en/index.jhtml,1998.0,"PricewaterhouseCoopers is a network of firms in 158 countries that delivers quality in assurance, tax and advisory services.","10,001+",10017.0,40.7527373,-73.9643242
Priceweave,www.priceweave.com,2011.0,"PriceWeave is an eCommerce Price Intelligence product that lets eCommerce portals monitor price changes to products across the Web in a easy manner. Managers can monitor changes to prices, stock availability, and daily reports to be abreast with the changes and take decisions accordingly.",1-10,10012.0,40.7255276078,-73.9978582518
ProPublica,http://www.propublica.org/,2007.0,"ProPublica is an independent, non-profit newsroom that produces investigative journalism in the public interest. Our work focuses exclusively on truly important stories, stories with “moral force.” We do this by producing journalism that shines a light on exploitation of the weak by the strong and on the failures of those with power to vindicate the trust placed in them.",11-50,10006.0,34.02,-6.837
Quandl,http://www.quandl.com,2011.0,"Quid software helps users explore complex data and networks on technology areas of interest and provides them with the ability to monitor them over time.
Quandl offers free and unlimited access to 8 million time-series datasets from 400 sources spanning finance, economics, society, health, energy, demography and more. Use our search engine to find the data you need; then get that data in any format you want, via instant download, our API, or any of 12 packages that talk directly to Quandl.",1-10,0.0,53.393726,9.998432
Rank and Filed,http://rankandfiled.com/,2013.0,"Rank and Filed gathers data from EDGAR, indexes it, and returns it in formats meant to help investors research, investigate and discover companies on their own.",,,34.220389,70.3800314
Ranku,http://goranku.com,2013.0,"Ranku’s core purpose is to provide the best search experience for students who are looking for full online degree programs. Ranku is optimized for individual users to find all the information required to make the best decision for their career. To achieve this, Ranku partners with the nation’s public, private, and state universities that are online that focus on education (not marketing) and which are centers for higher education (not call centers with a college built around it).",1-10,10001.0,50.2913586167,28.495351679
ReciPal,https://www.recipal.com/,2011.0,"ReciPal was created to simplify the lives of food businesses. Easy nutrition analysis, nutrition fact labels, ingredient lists, recipe costing, and recipe management are provided, all in the cloud and for a reasonable price. We work with up and coming food businesses, established food businesses, commercial kitchens, food business consultants, co-packers, food trucks, store fronts, students, you name it. We provide FDA approved, reliable do-it-yourself nutrition fact labels for everybody.",,,34.220389,70.3800314
Reed Elsevier,http://www.reedelsevier.com/Pages/Home.aspx,1880.0,"Reed Elsevier is a global provider of information solutions for professionals. We help scientists make new discoveries, lawyers win cases, doctors save lives, corporations build commercial relationships, insurance companies assess risk, and government and financial institutions detect fraud.

<p>We achieve this by leveraging customer understanding to combine high quality content and data with analytics and technology in global platforms. </p>","10,001+",10017.0,40.7527373,-73.9643242
Relationship Science,https://www.relsci.com,2010.0,"Relationship Science (RelSci) is a business development tool that provides deep information about influential people - who they are and who they know, what you have in common with them, and most importantly, how you can gain access to them and their organizations. RelSci helps you discover new relationships, advance existing ones, and maximize every opportunity.","501-1,000",10022.0,44.8490307667,7.73488306667
Revaluate,https://revaluate.com/,2014.0,"Revaluate lets you know what it’s like to live at a specific location…before you move there.  By combining a “Carfax-like” home history report with a proprietary scoring platform, Revaluate has created a livability rating that allows buyers, renters and real estate professionals to quickly and accurately compare significant and subtle differences between properties.",1-10,10022.0,44.8490307667,7.73488306667
Roadify Transit,www.roadify.com,2010.0,"<p>Roadify is a data platform and mobile application for transit information. Roadify uses open data to solve a universal problem—making it easy for people to learn when their bus, train, subway, etc is coming and why it’s late if it’s not there.  Roadify has the scale to provide information for public signage at transit hubs and elsewhere—including Brooklyn’s Barclays Center, New York’s City 24x7 kiosks and the Philadelphia Convention Center.  Roadify has strategic relationships with Cisco and Veolia Transportation around data management and content distribution.</p>

<p>Roadify’s model is simple:</p>

<br>1. Aggregate open real-time arrival, advisory and schedule data from transit agencies with tweets and comments from users. Distribute this content: i) through partner networks on a localized basis, such as sports and entertainment venues, hotels, retailers, outdoor display, websites and other mobile apps and ii) through our own mobile app </br>
<br>2. Build a global user base by addressing a daily, chronic, universal information need—“when is my ride coming and why is it late?”</br>
<br>3. Make it easy for 1) venues and enterprises to display this content paid for by subscription fees and 2) riders to book multi-mode urban ground transportation services from our app and partners</br>",1-10,11215.0,50.8721187,28.0844964
SmartAsset,smartasset.com,2010.0,"smartasset.com is a free web app that dramatically improves your ability to understand and make significant personal wealth and risk management decisions (home purchase, further education, family and retirement planning, asset allocation etc). At the heart of our service is a decision engine and optimization tool that measures the efficacy of different strategies, quantifies the true cost of financing alternatives and recommends specific financial products based on their suitability and cost.",1-10,10005.0,39.466923761,-6.39157658686
Social Explorer,http://www.socialexplorer.com/,2007.0,"Social Explorer is an easy-to-use demographics website, a web-based application that creates fast, intuitive, and visually appealing maps and reports. With Social Explorer, anyone with an Internet connection can access and work with census data.<p>

<p>Our mission is to build the simplest, easiest to use, and most fun demographics website in the world.</p>",11-50,10708.0,40.9388645994,-73.8316655645
SocialEffort Inc,http://socialeffort.co/,2013.0,"SocialEffort's mission is to enable charities, non profits, and businesses to seamlessly integrate volunteering into people's lifestyles.",1-10,10013.0,25.0331438,121.517527
SolarList,solarlist.com,2013.0,"SolarList helps people go solar. We provide homeowners across the US with a third-party assessment of their solar economic potential with our mobile (https://app.solarlist.com/) and web apps 
(http://solarlist.com/homeowners-get-started/). We deliver this targeted education primarily by incentivizing students and enterprising young people to canvass their neighborhoods and call on their personal networks. Then, interested homeowners are connected with approved solar installers. Homeowners end up paying less for solar, students get rewarded, installers sell more solar. Everybody wins.",1-10,11201.0,50.8965455,27.9186417
S&P Capital IQ,https://www.capitaliq.com,2010.0,"S&P Capital IQ is the combination of offerings previously provided by Capital IQ, elements of S&P including Global Credit Portal and MarketScope Advisor, enterprise solutions such as S&P Securities Evaluations and Compustat, research offerings including Leveraged Commentary & Data, Global Markets Intelligence, and company and fund research. ","5,001-10,000",10041.0,25.0456580307,121.51651501
Standard and Poor's,http://www.standardandpoors.com/en_US/web/guest/home,1860.0,"At Standard & Poor’s, our aim is to be the leading provider of global credit benchmarks and research across industries, asset classes, and geographies that investors, businesses, and markets use to foster economic development and growth around the world.","10,001+",,34.220389,70.3800314
Sterling Infosystems,http://www.sterlinginfosystems.com/,1976.0,"Sterling Infosystems is dedicated to helping companies make fast and well‐informed hiring decisions by delivering comprehensive, accurate, and cost‐effective background screening and drug testing services with a combination of world‐class technology and personnel. Sterling’s services and solutions enable clients to streamline and improve screening processes, resulting in a better candidate experience.",11-50,10004.0,34.005,-6.831
StreetEasy,http://streeteasy.com/,2005.0,StreetEasy provides consumers and real estate professionals a transparent and complete view of the NYC residential real estate market.,11-50,,34.220389,70.3800314
Thinknum,http://www.thinknum.com/,2013.0,"Thinknum is a web platform for financial analysis. Using Thinknum, an investor can view the analysis that others have done to value a company of interest and modify their work to suit his/her needs. We are eliminating the mundane work that investing analysts perform everyday.",1-10,10036.0,45.1367803738,7.76208309478
Thomson Reuters,http://thomsonreuters.com/,2008.0,"ThomsonReuters is a leading source of information for businesses and professionals, providing customers with competitive advantage. We deliver intelligent information - a synthesis of human intelligence, industry expertise and innovative technology - that provides decision-makers with the knowledge to act, enabling them to make better decisions faster. We provide intelligent information to the financial and risk, legal, tax and accounting, intellectual property and science and media markets.","10,001+",10036.0,45.1367803738,7.76208309478
TrialTrove,http://www.citeline.com/products/trialtrove/,2002.0,"Trialtrove is a comprehensive real-time source of pharmaceutical clinical trials intelligence, gathering clinical trial information from over 30,000 clinical trial data sources to provide a continually updated reference of clinical trials research in more than 150 countries. Covering over 180 diseases in eight major therapeutic areas, it is a real-time service offering a wide breadth and depth of clinical trial data, supported by experienced pharmaceutical industry analysts.",,10017.0,40.7527373,-73.9643242
TrialX,http://trialx.com/,2007.0,"TrialX is an online platform that empowers patients to find clinical trials that match their health conditions and connect with the trial investigators effortlessly. TrialX includes a novel decision engine, 'Ask Dory'  that uses as an entropy-based algorithm to find the most appropriate matching trials as quickly as possible. Dory also works as a personal assistant, connecting patients to matching site in real-time (using a cloud-based phone network). And she is warm and friendly to work with.

<p>TrialX is available on the web (TrialX.com), as an iPhone app and is integrated with HealthVault, a personal health record platform. The Enterprise version of TrialX powers clinical trial search at leading academic medical centers such as the Beth Israel Deaconess Medical center, University of Pennsylvania, NewYork Presbyterian Hospital, New York University and patient advocacy groups such as the Multiple Myeloma Research Foundation.</p>",1-10,10002.0,34.01,-6.828
TuvaLabs,https://www.tuvalabs.com/,2012.0,"TuvaLabs aims to make open data useful in the context of education by offering teachers, parents, and students a platform and tools to engage in meaningful learning around their favorite real-world topics. We have created a platform for students to be able to visualize, analyze, and interpret their favorite data sets. We believe that analyzing data, spotting patterns, and extracting useful information have become gateway skills for future STEM jobs, to full participation in the workforce, and civic engagement in 21st century.",1-10,10018.0,25.0461704,121.5152732
Unigo LLC,www.unigo.com,2008.0,"Unigo.com is a resource for prospective college students and parents looking for authentic information about the schools they’re considering. The site features tens of thousands of reviews, photos, videos and articles from America’s top colleges, provided by the real experts - the students who attend them.",11-50,10016.0,40.747273,-73.9778119
Vizzuality,vizzuality.com,2011.0,"Vizzuality is a small development company based in Madrid and New York City. We have two branches of development, consulting and the development of our flagship product, CartoDB. We enjoy being a small and productive company that delivers great user experiences and helps to tell stories that matter. We have been trying to make the world better since 2007. In this time we have worked with some of the biggest conservation organizations on more than 20 projects. Our development of CartoDB arose from our work as consultants when we realized the need to tell stories with beautiful maps was greater than what our company could enable without such a product.",1-10,10013.0,25.0331438,121.517527
Votizen,www.votizen.com,2010.0,"Votizen is a web service that allows you to discover how your friends on social networks are registered to vote, and campaign with them to elect candidates that share your values.",1-10,,34.220389,70.3800314
WebMD,http://www.webmd.com/,1996.0,"WebMD is a provider of health information and services to consumers and healthcare professionals. The online healthcare information, decision-support applications and communications services that we provide help consumers take an active role in managing their health by providing objective healthcare information and lifestyle information. We make it easier for physicians and healthcare professionals to access clinical reference sources, stay abreast of the latest clinical information, learn about new treatment options, earn continuing medical education credits and communicate with peers. We also enable employers and health plans to provide their employees and plan members with access to personalized heath and benefit information and decision support technology that helps them make informed benefit, provider and treatment choices.","1,001-5,000",10011.0,45.3670471808,7.77554058801
Weight Watchers,http://www.weightwatchers.com/,1960.0,Weight Watchers is an international company based in the United States that offers various products and services to assist weight loss and maintenance.,"10,001+",11753.0,40.7878203206,-73.5379311716
Whitby Group,http://www.whitbygroup.com,2001.0,"At the Whitby Group, we work on diverse toilet-related challenges. With our deep expertise in ergonomics, sanitation, technology history and engineering, we solve problems and attack challenges from all sides.",11-50,14853.0,42.4474057651,-76.4808540556
ZocDoc,http://www.zocdoc.com/,2007.0,"ZocDoc is a service to help people find and make dentist appointments in New York City. Today ZocDoc is used by more than 4 million patients every month to book appointments with a wide range of medical specialties in 1,900+ cities and towns serving more than 40% of the US population.","501-1,000",10012.0,40.7255276078,-73.9978582518
Zoner,www.Zonerapp.com,2011.0,"<p>Zoner is a Digital Zoning Optimization software that delivers real estate feasibility fast with clarity. Regulation today is complex; Zoner removes uncertainty and improves the decision making process of real estate planning, and investment.</p>
 
<p>If you have a business and you want to know if the use is allowed on a site you wish to purchase or rent; Zoner will tell you.  If you are a home owner considering making an addition; Zoner will tell you how much you can build.  If you are a community board member and you want to communicate the set back relationships in a particular zone; Zoner will help you visualize what is possible.</p> 
 
<p>Since 2002 40% all available land in New York City has been rezoned.  These changes result in confusion and uncertainty for owners, businesses, and communities. Zoner delivers transparency so that your business, home, or group can know what is allowed and the rough envelope that you project should fit inside. The data behind Zoner initiates from government data created with multiple redundancies that insuring reliability of information.  Our method of deliver maps, transforms, and shapes land use data into a realizable building project that conforms to regulatory jurisdictions. </p>
 ",1-10,10018.0,25.0461704,121.5152732
